"Ateneo
(categoria)";"Nome corso
(h1 post type corsi.di.laurea)";"slug
del post ""tipo + classe + nome CORSO + ateneo""";"Area di Studio
(term di tax area studio)";"Tipo
(term tax tipologia)";"Classe
(term di tax classe)";"Nome Classe
(descrizione di term tax classe)";"Note
attributo del post corso di laurea";"Costo
attributo di post corsi di laurea";"Curricula
(termini multipli di tassonomia curricula)";"Durata
attributo tax tipologia";"CFU
attributo del post"
1. eCampus;Design e discipline della moda;"laurea-triennale-l-03-design-e-discipline-della-moda-ecampus


";Lettere;Laurea triennale;L-03;Discipline delle Arti Figurative, della Musica, dello Spettacolo e della Moda;;;;3 anni;180
5. Uninettuno;Conservazione e valorizzazione dei Beni Culturali;;Beni Culturali;Laurea triennale;L-01;Beni Culturali;;;"""Operatore ed esperto in Patrimoni culturali e memoria digitale"",""Operatore ed esperto in Patrimoni e paesaggi culturali: linguaggi e codici della mediazione""";3 anni;180
3. San Raffaele;Architettura e Design Industriale;;Architettura e design industriale;Laurea triennale;L-04;Disegno Industriale;;;Moda,Design;3 anni;180
1. eCampus;Ingegneria cilie e ambientale;;Ingegneria;Laurea triennale;L-07;Ingegneria Civile e Ambientale;;;Civile e Ambientale,Paesaggistico;3 anni;180
1. eCampus;Lingue e letterature straniere;;Lettere;Laurea triennale;L-11;Lingue e Culture Moderne;;;;3 anni;180
1. eCampus;Scienze biologiche;;Psicologia;Laurea triennale;L-13;Scienze Biologiche;;;;3 anni;180
5. Uninettuno;Ingegneria Civile e Ambientale;;Ingegneria;Laurea triennale;L-07;Ingegneria Civile e Ambientale;;;"""Strutture e Infrastrutture"",""Costruzioni, Estimo e Topografia""";3 anni;180
6. Unicusano;Ingegneria Civile;;Ingegneria;Laurea triennale;L-07;Ingegneria Civile e Ambientale;;;Strutture,Edilizia;3 anni;180
1. eCampus;Ingegneria informatica e dell’automazione;;Ingegneria;Laurea triennale;L-08;Ingegneria dell'Informazione;;;Sistemi di Elaborazione e Controllo,Droni,Ingegneria Informatica e delle App;3 anni;180
5. Uninettuno;Ingegneria informatica;;Ingegneria;Laurea triennale;L-08;Ingegneria dell'Informazione;;;"""Ingegneria Informatica"",""Information and communication technologies engineering (for Helwan University students)""";3 anni;180
1. eCampus;Scienze e tecniche psicologiche;;Psicologia;Laurea triennale;L-24;Scienze e Tecniche Psicologiche;;;;3 anni;180
1. eCampus;Ingegneria industriale;;Ingegneria;Laurea triennale;L-09;Ingegneria Industriale;;;Gestionale,Energetico,Chimico;3 anni;180
1. eCampus;Scienze politiche e sociali;;Giurisprudenza;Laurea triennale;L-36;Scienze Politiche e delle Relazioni Internazionali;;;;3 anni;180
1. eCampus;Filologia Moderna;;Lettere;Laurea magistrale;LM-14;Filologia moderna;;;;2 Anni;120
1. eCampus;Letteratura, musica e spettacolo;;Lettere;Laurea magistrale;LM-14;Filologia moderna;;;;2 Anni;120
1. eCampus;Ingegneria civile;;Ingegneria;Laurea magistrale;LM-23;Ingegneria civile;;;;2 Anni;120
1. eCampus;Ingegneria informatica e dell’automazione;;Ingegneria;Laurea magistrale;LM-32;Ingegneria informatica;;;;2 Anni;120
